"","subject","session","trial","flanked","distortion","freq","amplitude","spacing","im_name","targ_letter","targ_pos","response","eyemovement","RT","experiment","correct"
"143","TW",1,24," flanked","RF",4,0.275,2," flanked_rf_freq_4_amplitude_0.275_rep_4_l_H_2.0.png"," H"," l"," b"," n.a.",0.7772248,"a",0
"144","TW",1,24," flanked","BPN",4,5,2," flanked_bex_freq_4_amplitude_5_rep_4_r_N_2.0.png"," N"," r"," r"," n.a.",0.6626059,"a",1
"145","TW",1,25," flanked","RF",4,0.425,2," flanked_rf_freq_4_amplitude_0.425_rep_1_l_D_2.0.png"," D"," l"," l"," n.a.",0.2515551,"a",1
"146","TW",1,25," flanked","BPN",4,1,2," flanked_bex_freq_4_amplitude_1_rep_4_l_N_2.0.png"," N"," l"," b"," n.a.",0.2949402,"a",0
"147","TW",1,25," flanked","RF",4,0.5,2," flanked_rf_freq_4_amplitude_0.5_rep_7_r_H_2.0.png"," H"," r"," r"," n.a.",0.2895659,"a",1
"148","TW",1,25," flanked","BPN",4,2,2," flanked_bex_freq_4_amplitude_2_rep_7_t_N_2.0.png"," N"," t"," l"," n.a.",0.3298556,"a",0
"149","TW",1,25," flanked","RF",4,0.2,2," flanked_rf_freq_4_amplitude_0.2_rep_5_l_K_2.0.png"," K"," l"," t"," n.a.",0.3419315,"a",0
"150","TW",1,25," flanked","BPN",4,6,2," flanked_bex_freq_4_amplitude_6_rep_3_t_N_2.0.png"," N"," t"," l"," n.a.",0.6339189,"a",0
"151","TW",1,26," flanked","RF",4,0.5,2," flanked_rf_freq_4_amplitude_0.5_rep_8_t_H_2.0.png"," H"," t"," t"," n.a.",0.4549027,"a",1
"152","TW",1,26," flanked","BPN",4,4,2," flanked_bex_freq_4_amplitude_4_rep_0_t_N_2.0.png"," N"," t"," t"," n.a.",0.4237415,"a",1
"153","TW",1,26," flanked","RF",4,0.05,2," flanked_rf_freq_4_amplitude_0.05_rep_9_l_D_2.0.png"," D"," l"," b"," n.a.",0.4404156,"a",0
"154","TW",1,26," flanked","BPN",4,4,2," flanked_bex_freq_4_amplitude_4_rep_0_t_H_2.0.png"," H"," t"," t"," n.a.",0.2611141,"a",1
